"GeneID","Gene Name","Gene Category","Gene Class","DHS Support"
"ENSGR0000214717.5","ZBED1","others","protein coding mRNAs","no"
"ENSGR0000205755.6","CRLF2","others","protein coding mRNAs","no"
"ENSGR0000182162.5","P2RY8","others","protein coding mRNAs","no"
"ENSGR0000169100.8","SLC25A6","others","protein coding mRNAs","no"
"ENSGR0000169093.10","ASMTL","others","protein coding mRNAs","no"
"ENSGR0000169084.8","DHRSX","others","protein coding mRNAs","no"
"ENSGR0000167393.12","PPP2R3B","others","protein coding mRNAs","no"
"ENSG00000273452.1","AC005358.1","others","protein coding mRNAs","no"
"ENSG00000273439.1","ZNF8","mRNA","protein coding mRNAs","promoter"
"ENSG00000273331.1","TM4SF19","others","protein coding mRNAs","enhancer"
"ENSG00000273291.1","KRBOX1","mRNA","protein coding mRNAs","promoter"
"ENSG00000273274.1","ZBTB8B","mRNA","protein coding mRNAs","promoter"
"ENSG00000273269.1","RP11-761B3.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000273266.1","HOXC4","others","protein coding mRNAs","dyadic"
"ENSG00000273259.1","RP11-986E7.7","others","protein coding mRNAs","enhancer"
"ENSG00000273217.1","CTC-432M15.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000273173.1","SNURF","mRNA","protein coding mRNAs","promoter"
"ENSG00000273171.1","CTB-96E2.2","others","protein coding mRNAs","no"
"ENSG00000273170.1","ANKRD18A","others","protein coding mRNAs","no"
"ENSG00000273167.1","RP11-307N16.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000273155.1","MRPL30","mRNA","protein coding mRNAs","promoter"
"ENSG00000273154.1","RP4-583P15.15","mRNA","protein coding mRNAs","promoter"
"ENSG00000273088.1","RP11-201K10.3","others","protein coding mRNAs","enhancer"
"ENSG00000273079.1","GRIN2B","mRNA","protein coding mRNAs","promoter"
"ENSG00000273049.1","RP11-834C11.12","mRNA","protein coding mRNAs","promoter"
"ENSG00000273047.1","RP4-583P15.14","mRNA","protein coding mRNAs","promoter"
"ENSG00000273045.1","C2ORF15","mRNA","protein coding mRNAs","promoter"
"ENSG00000273025.1","CELF6","mRNA","protein coding mRNAs","promoter"
"ENSG00000273003.1","RP11-399J13.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000272968.1","RBAK-RBAKDN","mRNA","protein coding mRNAs","promoter"
"ENSG00000272962.1","SLC5A3","mRNA","protein coding mRNAs","promoter"
"ENSG00000272921.1","RP11-500M8.7","mRNA","protein coding mRNAs","promoter"
"ENSG00000272916.1","RP11-574K11.31","mRNA","protein coding mRNAs","promoter"
"ENSG00000272897.1","RP1-309K20.6","others","protein coding mRNAs","no"
"ENSG00000272896.1","RP11-216L13.17","others","protein coding mRNAs","dyadic"
"ENSG00000272869.1","CTC-487M23.8","mRNA","protein coding mRNAs","promoter"
"ENSG00000272822.1","RP11-302B13.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000272781.1","MDGA2","mRNA","protein coding mRNAs","promoter"
"ENSG00000272772.1","CTD-2410N18.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000272762.1","RP11-155D18.14","others","protein coding mRNAs","dyadic"
"ENSG00000272741.1","RP11-447L10.1","others","protein coding mRNAs","enhancer"
"ENSG00000272658.1","LTB4R2","others","protein coding mRNAs","no"
"ENSG00000272647.1","GS1-259H13.10","mRNA","protein coding mRNAs","promoter"
"ENSG00000272636.1","DOC2B","others","protein coding mRNAs","dyadic"
"ENSG00000272617.1","RP11-343C2.12","others","protein coding mRNAs","enhancer"
"ENSG00000272573.1","MUSTN1","others","protein coding mRNAs","enhancer"
"ENSG00000272514.1","C6ORF165","mRNA","protein coding mRNAs","promoter"
"ENSG00000272442.2","RP11-444E17.6","others","protein coding mRNAs","enhancer"
"ENSG00000272414.1","FAM47E","mRNA","protein coding mRNAs","promoter"
"ENSG00000272410.1","RP11-438J1.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000272333.1","KMT2B","mRNA","protein coding mRNAs","promoter"
"ENSG00000272325.1","NUDT3","mRNA","protein coding mRNAs","promoter"
"ENSG00000272297.1","RP11-215A19.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000272195.1","RP11-156E8.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000272162.1","RP11-637O19.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000272104.1","XXcos-LUCA11.5","others","protein coding mRNAs","dyadic"
"ENSG00000272047.1","GTF2H5","mRNA","protein coding mRNAs","promoter"
"ENSG00000271949.1","RP11-302M6.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000271810.1","RP11-426L16.10","mRNA","protein coding mRNAs","promoter"
"ENSG00000271793.1","RP11-321N4.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000271741.1","ZMYM6","mRNA","protein coding mRNAs","promoter"
"ENSG00000271723.1","MROH7-TTC4","others","protein coding mRNAs","enhancer"
"ENSG00000271698.1","TMEM249","mRNA","protein coding mRNAs","promoter"
"ENSG00000271303.1","SRXN1","mRNA","protein coding mRNAs","promoter"
"ENSG00000271178.1","IGHV3OR16-13","others","protein coding mRNAs","no"
"ENSG00000271092.1","RP11-57H12.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000271043.1","MTRNR2L2","others","protein coding mRNAs","no"
"ENSG00000270999.1","CH17-132F21.1","others","protein coding mRNAs","no"
"ENSG00000270898.1","ASB3","mRNA","protein coding mRNAs","promoter"
"ENSG00000270800.1","RPS10-NUDT3","mRNA","protein coding mRNAs","promoter"
"ENSG00000270757.1","HSPE1-MOB4","mRNA","protein coding mRNAs","promoter"
"ENSG00000270672.1","MTRNR2L6","others","protein coding mRNAs","enhancer"
"ENSG00000270617.1","URGCP-MRPS24","mRNA","protein coding mRNAs","promoter"
"ENSG00000270505.1","IGHV1OR15-1","others","protein coding mRNAs","dyadic"
"ENSG00000270467.1","IGHV3OR16-12","others","protein coding mRNAs","no"
"ENSG00000270466.1","SEPT1","others","protein coding mRNAs","dyadic"
"ENSG00000270394.1","MTRNR2L13","others","protein coding mRNAs","no"
"ENSG00000270386.1","UGT2A1","others","protein coding mRNAs","no"
"ENSG00000270316.1","C10orf32-ASMT","mRNA","protein coding mRNAs","promoter"
"ENSG00000270299.1","RP5-850E9.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000270188.1","MTRNR2L11","others","protein coding mRNAs","no"
"ENSG00000270181.1","BIVM-ERCC5","mRNA","protein coding mRNAs","promoter"
"ENSG00000270149.1","F11R","mRNA","protein coding mRNAs","promoter"
"ENSG00000270136.1","MINOS1-NBL1","mRNA","protein coding mRNAs","promoter"
"ENSG00000270106.1","TSNAX-DISC1","mRNA","protein coding mRNAs","promoter"
"ENSG00000270024.1","C8orf44-SGK3","mRNA","protein coding mRNAs","promoter"
"ENSG00000270011.2","ZNF177","mRNA","protein coding mRNAs","promoter"
"ENSG00000269955.2","LUC7L2","mRNA","protein coding mRNAs","promoter"
"ENSG00000269897.1","COMMD3-BMI1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269891.1","ARHGAP19-SLIT1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269883.1","AC007375.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269881.1","ITFG3","others","protein coding mRNAs","no"
"ENSG00000269871.1","AC040977.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269858.1","EGLN2","mRNA","protein coding mRNAs","promoter"
"ENSG00000269855.1","AC012313.1","others","protein coding mRNAs","dyadic"
"ENSG00000269846.1","RBL1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269804.1","AL353354.2","others","protein coding mRNAs","no"
"ENSG00000269781.1","FLJ20306","mRNA","protein coding mRNAs","promoter"
"ENSG00000269755.1","CTD-3105H18.18","mRNA","protein coding mRNAs","promoter"
"ENSG00000269741.1","KLK9","others","protein coding mRNAs","no"
"ENSG00000269711.1","CTD-3214H19.16","others","protein coding mRNAs","enhancer"
"ENSG00000269699.1","ZIM2","mRNA","protein coding mRNAs","promoter"
"ENSG00000269693.1","CTD-2192J16.20","others","protein coding mRNAs","enhancer"
"ENSG00000269690.1","AC096677.1","others","protein coding mRNAs","enhancer"
"ENSG00000269676.1","MUC8","mRNA","protein coding mRNAs","promoter"
"ENSG00000269657.1","AC079210.1","others","protein coding mRNAs","enhancer"
"ENSG00000269636.1","AC010441.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269620.1","AL590560.1","others","protein coding mRNAs","enhancer"
"ENSG00000269590.1","CTD-2192J16.24","mRNA","protein coding mRNAs","promoter"
"ENSG00000269559.1","AC093677.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269554.1","AL590822.2","others","protein coding mRNAs","dyadic"
"ENSG00000269547.1","CTC-360G5.8","mRNA","protein coding mRNAs","promoter"
"ENSG00000269545.1","CTD-3138B18.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000269533.1","AC003002.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000269526.1","ERVV-1","others","protein coding mRNAs","no"
"ENSG00000269514.1","DKFZP779L1853","mRNA","protein coding mRNAs","promoter"
"ENSG00000269476.1","CTD-2583A14.9","mRNA","protein coding mRNAs","promoter"
"ENSG00000269469.1","CTD-3148I10.9","others","protein coding mRNAs","no"
"ENSG00000269407.1","AL096677.1","others","protein coding mRNAs","no"
"ENSG00000269404.2","SPIB","others","protein coding mRNAs","dyadic"
"ENSG00000269403.1","CTD-2616J11.11","mRNA","protein coding mRNAs","promoter"
"ENSG00000269363.1","MGC4771","mRNA","protein coding mRNAs","promoter"
"ENSG00000269343.2","ZNF587B","mRNA","protein coding mRNAs","promoter"
"ENSG00000269339.1","AC139768.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269337.1","AL591479.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269308.1","AL645608.2","others","protein coding mRNAs","no"
"ENSG00000269307.1","CTD-2278I10.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000269302.1","AC110771.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269279.1","AL136376.1","others","protein coding mRNAs","no"
"ENSG00000269242.1","CTD-2192J16.22","others","protein coding mRNAs","dyadic"
"ENSG00000269210.1","AC019171.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269190.1","FBXO17","mRNA","protein coding mRNAs","promoter"
"ENSG00000269179.1","CTC-326K19.6","others","protein coding mRNAs","dyadic"
"ENSG00000269175.1","AC093157.1","others","protein coding mRNAs","no"
"ENSG00000269155.1","AL009178.1","others","protein coding mRNAs","no"
"ENSG00000269113.3","TRABD2B","mRNA","protein coding mRNAs","promoter"
"ENSG00000269099.1","LSP1","others","protein coding mRNAs","no"
"ENSG00000269095.1","AC010646.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000269093.1","AC007773.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000269089.1","AP003733.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000269071.1","AC138517.1","others","protein coding mRNAs","no"
"ENSG00000269067.1","ZNF728","others","protein coding mRNAs","no"
"ENSG00000269058.1","CALR3","mRNA","protein coding mRNAs","promoter"
"ENSG00000269047.1","AC009041.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000269035.1","CTD-2521M24.10","others","protein coding mRNAs","dyadic"
"ENSG00000269028.2","MTRNR2L12","others","protein coding mRNAs","no"
"ENSG00000269026.2","AC003006.7","mRNA","protein coding mRNAs","promoter"
"ENSG00000268996.1","AL807752.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268964.1","ERVV-2","mRNA","protein coding mRNAs","promoter"
"ENSG00000268941.1","MGC4294","others","protein coding mRNAs","enhancer"
"ENSG00000268927.1","FLJ00418","others","protein coding mRNAs","no"
"ENSG00000268926.1","DKFZP434H0512","others","protein coding mRNAs","no"
"ENSG00000268882.1","AL360181.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268870.1","CTD-3105H18.16","mRNA","protein coding mRNAs","promoter"
"ENSG00000268865.1","AC026310.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268864.1","CTB-167G5.5","others","protein coding mRNAs","enhancer"
"ENSG00000268863.1","AC135048.1","others","protein coding mRNAs","dyadic"
"ENSG00000268861.1","CTD-2207O23.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000268858.1","C20ORF135","mRNA","protein coding mRNAs","promoter"
"ENSG00000268846.1","AC018867.2","others","protein coding mRNAs","no"
"ENSG00000268818.1","AL049747.1","others","protein coding mRNAs","enhancer"
"ENSG00000268798.1","AC027307.3","others","protein coding mRNAs","enhancer"
"ENSG00000268797.1","CTC-490E21.12","mRNA","protein coding mRNAs","promoter"
"ENSG00000268791.1","AC093323.1","others","protein coding mRNAs","enhancer"
"ENSG00000268790.1","CTC-429P9.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000268750.2","CTD-2583A14.10","mRNA","protein coding mRNAs","promoter"
"ENSG00000268744.1","CTD-3105H18.14","mRNA","protein coding mRNAs","promoter"
"ENSG00000268714.3","CTD-2287O16.3","others","protein coding mRNAs","no"
"ENSG00000268702.1","AL049829.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268643.1","AC006486.9","mRNA","protein coding mRNAs","promoter"
"ENSG00000268635.1","DKFZP434E1119","others","protein coding mRNAs","no"
"ENSG00000268628.1","AL121761.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000268614.1","CTD-2207O23.10","mRNA","protein coding mRNAs","promoter"
"ENSG00000268533.1","AC004076.7","mRNA","protein coding mRNAs","promoter"
"ENSG00000268509.1","AC026202.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268503.1","AC007421.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268500.1","SIGLEC5","others","protein coding mRNAs","no"
"ENSG00000268485.1","AC104841.2","others","protein coding mRNAs","no"
"ENSG00000268467.1","AP000889.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000268457.1","AL160175.1","others","protein coding mRNAs","no"
"ENSG00000268434.1","AC011530.4","others","protein coding mRNAs","no"
"ENSG00000268427.1","AL022328.1","others","protein coding mRNAs","enhancer"
"ENSG00000268423.1","AC011551.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000268412.1","AC013449.1","others","protein coding mRNAs","no"
"ENSG00000268403.1","AC132192.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268400.1","CTD-3214H19.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000268361.1","L34079.2","others","protein coding mRNAs","enhancer"
"ENSG00000268358.1","EPB41L4A-AS2","mRNA","protein coding mRNAs","promoter"
"ENSG00000268317.1","AC026461.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268310.1","AC087645.1","others","protein coding mRNAs","enhancer"
"ENSG00000268279.2","RP11-434D12.1","others","protein coding mRNAs","enhancer"
"ENSG00000268241.1","AC018470.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268208.1","AC008372.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268193.1","AC002985.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000268182.1","SMIM17","mRNA","protein coding mRNAs","promoter"
"ENSG00000268175.1","AC117395.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000268173.1","PIK3R2","mRNA","protein coding mRNAs","promoter"
"ENSG00000268172.1","AL590452.1","others","protein coding mRNAs","enhancer"
"ENSG00000268171.1","AC068620.1","others","protein coding mRNAs","enhancer"
"ENSG00000268170.1","AC073342.1","others","protein coding mRNAs","enhancer"
"ENSG00000268163.1","AC004076.9","mRNA","protein coding mRNAs","promoter"
"ENSG00000268162.1","HBCBP","others","protein coding mRNAs","no"
"ENSG00000268146.1","AL590483.1","others","protein coding mRNAs","enhancer"
"ENSG00000268133.1","AC003002.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000268130.1","AL137002.1","others","protein coding mRNAs","no"
"ENSG00000268107.1","AC003005.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000268083.1","AC104534.3","others","protein coding mRNAs","no"
"ENSG00000268080.1","AC016885.1","others","protein coding mRNAs","enhancer"
"ENSG00000268059.1","AL441883.1","others","protein coding mRNAs","no"
"ENSG00000268024.1","AC005549.3","others","protein coding mRNAs","dyadic"
"ENSG00000268000.1","hsa-mir-150","others","protein coding mRNAs","enhancer"
"ENSG00000267988.1","AC096582.1","others","protein coding mRNAs","enhancer"
"ENSG00000267987.1","AL161784.1","others","protein coding mRNAs","no"
"ENSG00000267976.1","AP000695.1","others","protein coding mRNAs","no"
"ENSG00000267964.1","AC022400.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267954.1","AP000349.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000267952.1","CTD-2207O23.12","others","protein coding mRNAs","enhancer"
"ENSG00000267950.1","AC136297.1","others","protein coding mRNAs","enhancer"
"ENSG00000267937.1","AP001421.1","others","protein coding mRNAs","enhancer"
"ENSG00000267918.1","AL117190.2","others","protein coding mRNAs","enhancer"
"ENSG00000267909.1","CCDC177","mRNA","protein coding mRNAs","promoter"
"ENSG00000267889.1","AC079354.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267884.1","AL626787.1","others","protein coding mRNAs","no"
"ENSG00000267882.1","AL031666.2","others","protein coding mRNAs","enhancer"
"ENSG00000267881.1","CEA","mRNA","protein coding mRNAs","promoter"
"ENSG00000267855.1","NDUFA7","mRNA","protein coding mRNAs","promoter"
"ENSG00000267848.1","AL118506.1","others","protein coding mRNAs","enhancer"
"ENSG00000267824.1","AC137056.1","others","protein coding mRNAs","no"
"ENSG00000267796.3","LIN37","mRNA","protein coding mRNAs","promoter"
"ENSG00000267795.1","SMIM22","mRNA","protein coding mRNAs","promoter"
"ENSG00000267772.1","RP11-15E18.4","others","protein coding mRNAs","no"
"ENSG00000267757.1","AC006132.1","others","protein coding mRNAs","dyadic"
"ENSG00000267748.2","CTB-102L5.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000267740.1","AC024592.12","mRNA","protein coding mRNAs","promoter"
"ENSG00000267710.1","AC006116.20","others","protein coding mRNAs","enhancer"
"ENSG00000267706.3","CTD-2105E13.6","others","protein coding mRNAs","no"
"ENSG00000267699.2","RP11-729L2.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267697.1","LUZP6","others","protein coding mRNAs","no"
"ENSG00000267680.1","ZNF224","mRNA","protein coding mRNAs","promoter"
"ENSG00000267673.2","FDX1L","mRNA","protein coding mRNAs","promoter"
"ENSG00000267645.1","POLR2J2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267618.1","RAD51L3-RFFL","mRNA","protein coding mRNAs","promoter"
"ENSG00000267596.1","CCL15","mRNA","protein coding mRNAs","promoter"
"ENSG00000267561.1","RP5-1052I5.2","others","protein coding mRNAs","enhancer"
"ENSG00000267552.2","CTD-2528L19.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000267545.1","AC005779.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267534.1","S1PR2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267531.1","AC020922.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000267508.1","ZNF285","mRNA","protein coding mRNAs","promoter"
"ENSG00000267496.2","FAM215A","mRNA","protein coding mRNAs","promoter"
"ENSG00000267477.1","CTC-398G3.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000267467.2","APOC4","others","protein coding mRNAs","dyadic"
"ENSG00000267426.1","RP11-552F3.12","mRNA","protein coding mRNAs","promoter"
"ENSG00000267385.1","CTB-50L17.14","others","protein coding mRNAs","enhancer"
"ENSG00000267368.1","UPK3BL","others","protein coding mRNAs","no"
"ENSG00000267360.2","CTC-454I21.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000267318.1","RP11-178C3.1","others","protein coding mRNAs","no"
"ENSG00000267314.1","AC104532.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267303.1","CTD-2369P2.12","others","protein coding mRNAs","no"
"ENSG00000267281.2","RP11-793H13.10","mRNA","protein coding mRNAs","promoter"
"ENSG00000267270.1","AC139100.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000267261.1","CTD-2132N18.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000267260.1","CTD-2162K18.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000267228.2","IER3IP1","mRNA","protein coding mRNAs","promoter"
"ENSG00000267216.1","AC010642.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000267206.1","LCN6","others","protein coding mRNAs","enhancer"
"ENSG00000267179.1","ZNF763","mRNA","protein coding mRNAs","promoter"
"ENSG00000267173.1","CTC-512J12.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000267168.1","RP11-318A15.7","others","protein coding mRNAs","enhancer"
"ENSG00000267140.1","RP11-322E11.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000267127.2","RP11-795F19.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000267120.3","AD000671.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000267114.1","CTB-129P6.11","mRNA","protein coding mRNAs","promoter"
"ENSG00000267110.1","CTD-2587H24.4","others","protein coding mRNAs","dyadic"
"ENSG00000267106.1","C19orf82","mRNA","protein coding mRNAs","promoter"
"ENSG00000267060.1","PTGES3L","mRNA","protein coding mRNAs","promoter"
"ENSG00000267059.2","UQCR11","mRNA","protein coding mRNAs","promoter"
"ENSG00000267041.1","ZNF850","mRNA","protein coding mRNAs","promoter"
"ENSG00000267022.1","ZNF223","mRNA","protein coding mRNAs","promoter"
"ENSG00000267001.1","AC006538.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000266997.2","RP11-886H22.1","others","protein coding mRNAs","no"
"ENSG00000266967.2","AARSD1","mRNA","protein coding mRNAs","promoter"
"ENSG00000266964.1","FXYD1","others","protein coding mRNAs","dyadic"
"ENSG00000266956.1","CTB-186H2.3","mRNA","protein coding mRNAs","promoter"
"ENSG00000266953.2","RP11-618P17.4","others","protein coding mRNAs","no"
"ENSG00000266728.1","AC015688.3","others","protein coding mRNAs","enhancer"
"ENSG00000266714.2","MYO15B","mRNA","protein coding mRNAs","promoter"
"ENSG00000266302.1","RP11-219A15.1","others","protein coding mRNAs","enhancer"
"ENSG00000266258.1","RP11-41O4.1","others","protein coding mRNAs","no"
"ENSG00000266202.1","RP1-66C13.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000266173.1","STRADA","mRNA","protein coding mRNAs","promoter"
"ENSG00000266118.1","RP11-507M3.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000266086.1","RP11-159D12.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000265818.1","EEF1E1-BLOC1S5","mRNA","protein coding mRNAs","promoter"
"ENSG00000265817.1","FSBP","mRNA","protein coding mRNAs","promoter"
"ENSG00000265690.3","RP11-5A19.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000265681.2","RPL17","mRNA","protein coding mRNAs","promoter"
"ENSG00000265629.1","AC011897.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000265590.5","AP000275.65","mRNA","protein coding mRNAs","promoter"
"ENSG00000265303.1","CTD-2510F5.6","others","protein coding mRNAs","no"
"ENSG00000265264.1","TIMM10B","mRNA","protein coding mRNAs","promoter"
"ENSG00000265118.1","CTD-2370N5.3","others","protein coding mRNAs","enhancer"
"ENSG00000265096.1","C1QTNF1-AS1","others","protein coding mRNAs","dyadic"
"ENSG00000264813.1","ACE","others","protein coding mRNAs","enhancer"
"ENSG00000264668.1","ZFP41","mRNA","protein coding mRNAs","promoter"
"ENSG00000264545.1","RP11-145E5.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000264424.1","MYH4","others","protein coding mRNAs","no"
"ENSG00000264364.2","DYNLL2","mRNA","protein coding mRNAs","promoter"
"ENSG00000264324.1","RP11-287D1.3","others","protein coding mRNAs","no"
"ENSG00000264278.1","RP11-162A12.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000264187.1","RP11-45M22.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000264116.1","RP11-321M21.3","others","protein coding mRNAs","enhancer"
"ENSG00000264058.1","KRT222","mRNA","protein coding mRNAs","promoter"
"ENSG00000263812.1","LINC00908","others","protein coding mRNAs","dyadic"
"ENSG00000263809.1","RP11-849F2.7","mRNA","protein coding mRNAs","promoter"
